Material,Value
Li / LiNi0.57Mg0.03Co0.25Mn0.15O2,5.2
Li / LiNi0.5−xCo2xMn1.5−xO4,4.9
Li / LiNi0.5−xCo2xMn1.5−xO4,3.5
Li / LiNi0.5−xCo2xMn1.5−xO4,4.7
Li / LiNi0.5−xCo2xMn1.5−xO4(x,4.9
Li / LiNi0.5−xCo2xMn1.5−xO4(x,3.5
Li / LiNi0.5Co0.2Mn0.3O2,4.3
Li / LiNi0.5Co0.2Mn0.3O2,4.4
Li / LiNi0.5Co0.2Mn0.3O2,4.5
Li / LiNi0.5Co0.2Mn0.3O2,2.7
Li / LiNi0.5Co0.2Mn0.3O2,3
Li / LiNi0.5Co0.2Mn0.3O2,4.2
Li / LiNi0.5Co0.2Mn0.3O2,2.75
Li / LiNi0.5Co0.44Fe0.06VO4,4.9
Li / LiNi0.5Mn0.5O2,3
Li / LiNi0.5Mn0.5O2,2.5
Li / LiNi0.5Mn0.5O2,3.6
Li / LiNi0.5Mn0.5O2,4.6
Li / LiNi0.5Mn0.5O2,4.3
Li / LiNi0.5Mn0.5O2,4.2
Li / LiNi0.5Mn0.5O2,4.5
Li / LiNi0.5Mn0.5O2,4
Li / LiNi0.5Mn0.5O2,4.4
Li / LiNi0.5Mn1.5O4,4.2
Li / LiNi0.5Mn1.5O4,2.7
Li / LiNi0.5Mn1.5O4,4
Li / LiNi0.5Mn1.5O4,4.6
Li / LiNi0.5Mn1.5O4,3.5
Li / LiNi0.5Mn1.5O4,5.2
Li / LiNi0.5Mn1.5O4,4.75
Li / LiNi0.5Mn1.5O4,4.95
Li / LiNi0.5Mn1.5O4,4.1
Li / LiNi0.5Mn1.5O4,5
Li / LiNi0.5Mn1.5O4,4.9
Li / LiNi0.5Mn1.5O4,4.7
Li / LiNi0.5Mn1.5O4,3
Li / LiNi0.5Mn1.5O4,4.85
Li / LiNi0.5Mn1.5O4,5.1
Li / LiNi0.6−yMgyCo0.25Mn0.15O2,4.5
Li / LiNi0.6−yMgyCo0.25Mn0.15O2,3
Li / LiNi0.6Co0.2Mn0.2O2,4.2
Li / LiNi0.80Mn0.10Co0.10O2,4.3
Li / LiNi0.80Mn0.10Co0.10O2,4.5
Li / LiNi0.8Co0.15Al0.05O2,4.2
Li / LiNi0.8Co0.15Al0.05O2,4.35
Li / LiNi0.8Co0.15Al0.05O2,3
Li / LiNi1−yCoyO2,2.8
Li / LiNi1−yCoyO2,4.3
Li / LiNiO,2.5
Li / LiNiO,4.5
Li / LiNiO2,0.9
Li / LiNiO2,0.25
Li / LiNiO2,3
Li / LiNiO2,4.2
Li / LiNiO2,4.25
Li / LiNiO2,2.5
Li / LiNiVO4,3
Li / LiNixMn2−xO4,0.6
Li / LiNixMn2−xO4,4.1
Li / LiNixMn2−xO4,4.7
Li / LiPF6,0.5
Li / LiPF6 / lithium phosphorous oxynitride,1.4
Li / LiPF6 / lithium phosphorous oxynitride,1
"Li / LiPF6(EC,DMC) / LiFeO2",4.5
"Li / LiPF6(EC,DMC) / LiFeO2",1.5
Li / LiPON / LiCoO2,4
Li / Lipon / TiS2,2.5
Li / LiPONB / TiOS,3
Li / LiPONB / TiOS,1
Li / LiSn2(PO4)3,1
Li / LiTFSI-IL-P(VDF-HFP) / Li,5.00E-05
Li / LiTi2(PO4)3,1.26
Li / LiTi2(PO4)3,1.42
Li / LiTi2O4,1
Li / LiTi2O4,1.33
Li / LiTiPO5,0.78
Li / LiTiPO5,0.68
Li / LiTiPO5,1.51
Li / LiV3O8,3.6
Li / LiVPO4F,4.7
Li / LiVPO4F,3
Li / LiVPO4F,4.5
Li / LiVPO4F-550,2.2
Li / LiVPO4F-650,1.5
Li / Lix[Ni0.4Co0.2Mn0.4]O2,4.6
Li / LixCoO2,3.9
Li / LixCoO2,4.7
Li / LixFe1−yMnyPO4,4.2
Li / LixFe1−yMnyPO4,3.4
Li / LixMn2O4,4.28
Li / LixMn2O4,4
Li / LixMnO2,3
Li / LixMnO2,4
Li / LixNi0.5Mn1.5O4,4.66
Li / LixNiO2,4.35
Li / LiZnxMn2−xO4,2.75
Li / LiZnxMn2−xO4,4.5
Li / LLZ / LiCoO2,1.40E-05
Li / LLZO / Li,3.50E-05
Li / LLZO / Li,0.0001
Li / LPF6(EC-DMC) / SnO2,1
Li / LTO,2.8
Li / LTO,1.5
Li / LTO,0.1
Li / LTO,1
Li / LTO,4.2
Li / LTO,3
Li / LTO,1.2
Li / LTO,1.55
Li / LTO,3.5
Li / Mg,4.4
Li / MgSnO3,2
Li / m-Li2MnO3,3.2
Li / Mn,2.8
Li / Mn,4.5
Li / Mn,2
Li / Mn,4.35
Li / Mn,2.5
Li / Mn,3.8
Li / Mn,2.7
Li / Mn,0.72
Li / Mn,3.5
Li / Mn,4.4
Li / Mn,0.54
Li / Mn,4.6
Li / Mn,4.3
Li / Mn,4.15
Li / Mn,3
Li / Mn,4
Li / Mn,4.2
Li / Mn,5
Li / Mn,3.9
Li / Mn2.2Co0.27O4,4
Li / Mn2.2Co0.27O4,2
Li / Mn2.2Co0.27O4,2.5
Li / Mn2O4,4
Li / Mn3N2,2.5
Li / MnF2-CNT,4
Li / MnF2-CNT,5
Li / MnO2,3.50E-05
Li / MnO2,3.3
Li / MnO2,4
Li / MnO2,1.80E-05
Li / MnO2,2
Li / MnO2,3
Li / MnO2(HCOOH),1
Li / MnOx,2.5
Li / Mo0.8Si0.2P2,0.1
Li / Mo0.8Si0.2P2 ,0.65
Li / MoO3,1.5
Li / MoOx,3
Li / MoOx ,3
Li / MoP2,0.65
Li / Na,0.728
Li / Na,0.35
Li / Na,1.79
Li / Na,0.134
Li / Na,0.6
Li / Na,0.7
Li / Na,2
Li / Na,0.106
Li / Na,0.197
Li / Na,0.45
Li / Na,0.3
Li / Na,1.8
Li / Na,2.5
Li / Na,0.8
Li / Na,1
Li / Na,0.511
Li / Na,0.82
Li / Na / K,0.6
Li / Na / K,0.64
Li / Na0.76V6O15,4
Li / Na0.76V6O15,1.5
Li / Na2O2,1.534
Li / Na2O·1.5Fe2O3,2.5
Li / Na2O·1.5Fe2O3,0.25
Li / nano-Si,0.3
Li / nano-Si,1
Li / Nb,3
Li / Nb2O5,1.9
Li / Nb2O5,2
Li / Nb2O5,1
Li / Ni,2.7
Li / Ni,4.6
Li / Ni,1.8
Li / Ni,3
Li / Ni,3.25
Li / Ni,4.8
Li / Ni0.5TiOPO4,4
Li / Ni0.5TiOPO4,0.5
Li / NiS,3.5
Li / NiS,2
Li / NiS1.97,1.6
Li / NiS1.97,1.4
Li / NiS2,2
Li / O2,1.5
Li / O2,2.73
Li / O2,2.9
Li / O2,3.4
Li / O2,3.1
Li / O2,2.83
Li / O2(Li),4.6
Li / o-LiFeO2,3
Li / o-LiMnO2,4.3
Li / o-LiMnO2,2
Li / o-LiMnO2,4.5
Li / P(EO) $-LiC109 / CuO,1.2
Li / P(EO) $-LiC109 / CuO,1.9
Li / PANI–PPDA / Au,2.5
Li / Pb1-xBaxLi2Ti6O14,3
Li / PbOHCl,0.5
Li / PbOHCl,1
Li / PEG3o-LiCIOa / LiV308,1.7
Li / PEO / Li,0.00045
Li / PEO18LiTFSI / LATP / Pt,3.1
Li / PEO18LiTFSI / Si / C / CP-20,0.8
Li / PEO18LiTFSI / Si / C / CP-40,0.8
Li / PEO18TFSI / LATP / Pt,3.2
Li / PEO18TFSI / LATP / Pt,3.5
Li / PEO19(CF3SO2)2N-BaTiO3 / LiNi0.8Co0.2O2,2.5
Li / PEO19(CF3SO2)2N-BaTiO3 / LiNi0.8Co0.2O2,3.9
Li / PEO20LiCF3SO3DMSO / LiFePO4 2032,4
Li / PEO–LiBETI / V2O5,0.0001
Li / PEO–LiBETI / V2O5,8.00E-05
Li / PEO–LiBETI / V2O5,3.6
Li / PEO–LiBETI / V2O5,2
Li / PEO-CP-SZ-15 / Li,3.00E-05
Li / PI-GEL / Li4Ti5O12,2.5
Li / POSS-IL-LiTFSI / LFP,3.9
Li / POSS-IL-LiTFSI / LFP,2.5
Li / POSS-IL-LiTFSI / LTO,2
Li / POSS-IL-LiTFSI / LTO,1.3
Li / POSS-PIL-SPEs / LiFePO4,2.5
Li / POSS-PIL-SPEs / LiFePO4,4
Li / Pt,5
Li / Pt,1.5
Li / PTh,3.7
Li / PVC,3.4
Li / S,2.81
Li / S,2.51
Li / S,2.08
Li / S,2.54
Li / S,2.41
Li / Sb,0.92
Li / Sb,0.948
Li / Sb,0.6
Li / Sb,1
Li / Sb,0.956
Li / Sb2O3,3
Li / Sb2Se3,0.3
Li / Sb2Se3,3.5
Li / Si,0.1
Li / Si,0.2
Li / Si,0.25
Li / Si,0.3
Li / Si,1.35
Li / Si,2.00E-05
Li / Si,1.7
Li / Si0.68Ge0.22Mo0.1,0.6
Li / SiO–C,1.5
Li / SiO–C,3.48
Li / SiO–C,4
Li / Sn,1.4
Li / Sn,0.6
Li / Sn,0.2
Li / Sn,0.04
Li / Sn,1.3
Li / Sn,2
Li / Sn,1.5
Li / Sn,0.3
Li / Sn,0.9
Li / Sn,2.1
Li / Sn,0.02
Li / Sn,0.1
Li / Sn0.86Mo0.14O2,0.2
Li / Sn2B2O5,1.2
Li / Sn2Fe,2.5
Li / Sn31Co28C41,2
Li / SnO2,0.08
Li / SnO2,0.6
Li / SnO2,0.4
Li / SnO2,0.8
Li / SnO2-C,5
Li / SnO2-C,1.5
Li / SnS2,2.5
Li / SO2Cl2,3.9
Li / SOCl2,2.5
Li / SOCl2,2
Li / SOCl2,5
Li / SOCl2,3.6
Li / SOCl2,3.9
Li / SOCl2,3.65
Li / SOCl2,3.15
Li / SOCl2,3.67
Li / SOCl2,0.3
Li / SVO,3.2
Li / SVO,5
Li / Ti,1.3
Li / Ti,2.3
Li / Ti,1.8
Li / Ti,0.9
Li / Ti,3
Li / TiO,1
Li / TiO,3
Li / TiO2,1.78
Li / TiO2,3
Li / TiO2–C,3.5
Li / TiO2–C,0.05
Li / TiO2–C,1.1
Li / TiO2–C,2.35
Li / TiP2O7,2
Li / TiP2O7,3.4
Li / TiS2,3.8
Li / TiS2,2.5
Li / TiS2,2.1
Li / TREGDME-LiBETI / LFP,3.45
Li / V2(SO4)2,0.2
Li / V2(SO4)314,0.2
Li / V2O5,4
Li / V2ON,4
Li / V2Os,2.4
Li / V6O13,2
Li / V6O13,2.8
Li / V6O13,3
Li / V6O13,1.8
Li / V6O13,3.2
Li / VSbO4,1.1
Li / VSbO4,0.5
Li / xLi2MnO3•(1 −x)LiMn0.5Ni0.5O2,4.6
Li / xLi2MnO3•(1 −x)LiMn0.5Ni0.5O2,2
Li @ Cu,0.00038
Li @ Cu,0.0002
Li @ Cu,2.50E-05
Li @ Cu,0.0008
Li @ Cu,1.30E-05
Li @ Cu ,0.0002
Li @ CuLi,4.00E-05
Li @ CuLi ,0.000124
Li @ CuLi ,6.10E-05
Li + 2 C,3.40E-05
Li 2 Ti 3 O 7,1.7
Li 2 TiO,1
Li 2CO3,2.9
Li 2CO3,2.53
Li 2MnO3,4.6
Li 2O,2.5
Li 2O,1.5
Li 2O,2
Li 2O,2.05
Li 2O,1
Li 2O2,2.05
Li 2O2,4.04
Li 2O2,3.54
Li 2O2,0.1
Li 2O2,4
Li 2O2,3
Li 2S,2.2
Li 2S,1.9
Li 2S,1.7
Li 2S,0.2
Li 2S,3
Li 2Sn,1.5
Li 3 Al,3
Li 3 Al,0.05
Li 3 Al,0.1
Li 3 Al x V 2−x,4.2
Li 3 Al x V 2−x,3
Li 3 Mg,0.2
Li 3 Mg 2x V 2 2x,4.3
Li 3 N,0.44
Li 3 PO 4 N,4.2
Li 3 PO 4 N,3
Li 3 V,4.8
Li 3 V,3
Li 3 V 2,3
Li 3 V 2,4.4
Li 3 V 2,4.2
Li 3 V 2 ( PO 4 ) 3,3.62
Li 3 V 2 ( PO 4 ) 3,3.68
Li 3 V 2 ( PO 4 ) 3,4.55
Li 3 V 2 ( PO 4 ) 3,4.08
Li 3 V 2 ( PO 4 ) 3,3
Li 3 V 2 ( PO 4 ) 3 ( H ),3
Li 3 V 2 ( PO 4 ) 3 ( H ),4.4
Li 3 V 2 ( PO 4 ) 3 ( S ),3
Li 3 V 2 ( PO 4 ) 3 / C,4.2
Li 3 V 2 ( PO 4 ) 3 / C,3
Li 3 V 2 ( PO 4 ) 3 / C ,3
Li 3 V 2 ( PO 4 ) 3 / carbon,3
Li 3 V 2 ( PO 4 ) 3 / carbon ,3
Li 3 V 2 ( PO 4 ) 3 / C-based ,3
Li 3 V 2 ( PO 4 ) 3 / graphene nano,3
Li 3 V 2 ( PO 4 ) 3 @ C ,3
Li 3 V 2 ( PO 4 ) 3 All,3
Li 3 V 2 ( PO 4 ) 3 using V 2 O 5 Â·nH 2 O,3
Li 3 V 2 ( PO 4 ) 3 x Cl,3
Li 3 V 2 ( PO4 ),3
Li 3 V 2 ( PO4 ),4.4
Li 3 V 2âˆ’2 / 3x Mn x ( PO 4 ) 3 / C,3
Li 3 x V 2 ( PO 4 ) 3 ( 1 x 2 ),4
Li 3âˆ’2x Mg x V 2 ( PO 4 ) 3 / C ,3
Li 3âˆ’2x Mg x V 2 ( PO 4 ) 3 / C ,4.3
Li 3âˆ’2x Mg x V 2-( PO 4 ) 3 / C ,3
Li 3Mo2(PO4)3,4
Li 3Mo2(PO4)3,3
Li 3Mo2(PO4)3,3.36
Li 4 Ti 5 O 12,1.55
Li ∣ Cr0.5Nb1.5(PO4)3,3.2
Li ∣ I-18:II-C12 : LiBF4,0.0001
Li BF4,2.8
Li C104,4.2
Li C104,4.25
Li CoO,4.5
Li CoO,4.2
Li Fe0.2Mn0.8PO4,4.5
Li Fe0.2Mn0.8PO4 / Li4Ti5O12,2.45
Li Fe0.2Mn0.8PO4 / Li4Ti5O12,3
Li fluoride,6.1
Li H,0.525
Li I YBa2CU307-y,3
Li I YBa2CU307-y,2
Li Mn1.5Ni0.5O4,4.7
Li Ni0.5Mn1.5O4,5
Li Ni0.5Mn1.5O4,4.6
Li Ni0.5Mn1.5O4,4.8
Li Ni1 / 3Co1 / 3Mn1 / 3O2,4
Li OH 3675 d OCV -r,4.5
Li oxides,2
Li Pb,2.08
Li Pb,2.19
Li silicate,0.24
Li silicate,4.3
Li sulfide,2.6
Li t +xMnz04-C AA Prototype LiCoOz -- C AA,3.7
Li t +xMnz04-C AA Prototype LiCoOz -- C AA,1.26
Li t +xMnz04-C AA Prototype LiCoOz -- C AA,1.2
Li t +xMnz04-C AA Prototype LiCoOz -- C AA,3.6
Li V2(PO4)3,4.6
Li V3O8,1.5
Li W,4.9
Li x Co0.2Ni0.8O2,4.2
Li x CoO2,1
Li x CoO2,3.9
Li x CoPO4,3.5
Li x Cr y Mn2−y O4+z,4.5
Li x Mn2O4,3.75
Li x Mn2O4,4.8
Li x Mn2O4,2
Li x Mn2O4,3.3
Li x MoO,1.22
Li x MoO,1.74
Li x MoO,1.5
Li x Ni1−x O,5
Li x NiO2,4.3
Li x NiO2,3
Li x Ti2O4,1.4
Li(3−x)P,0.8
Li(3−x)P,1.73
Li(3−x)P,1
Li(4 − x ) / 3Ti(2 − 2x ) / 3FexO2,3
Li(Al),4
Li(Al)α+β / FeS2,1.315
Li(Al)α+β / FeS2,1.43
Li(Al)α+β / FeS2,1.81
Li(Al0.8Zn0.2) ,0.76
Li(BH4)1-x(NH2)x,1.3
Li(CF3SO2)2N,3
Li(CH3OH)4I / THT / SiO2,0.00068
Li(Co,4.5
Li(Co0.15Mn0.85)O2,4.6
Li(Co0.33Mn0.33Ni0.33)O2,4.6
Li(Co0.7Ni0.3)O2,3.94
Li(Co0.8Ni0.2)O2,4.4
Li(Co0.8Ni0.2−y Al y )O2,4.5
Li(Co0.8Ni0.2−yAly)O2,4.5
Li(Co0.8Ni0.2−yAly)O2,2.5
Li(Co1 − 2xNixMnx)O2,4.3
Li(Co1-xMgx)O2,4.3
Li(Fe1−yMny)PO4,3.5
Li(FeCo)0.05Mn0.9PO4,4
Li(FeCo)0.05Mn0.9PO4,0.51
Li(FeCo)0.05Mn0.9PO4,0.4
Li(FeCo)0.05Mn0.9PO4,0.49
Li(I),0.2
Li(I),2
Li(I),3.4
Li(I),0.1
Li(I),0.4
Li(I) / Li,0.2
Li(Li0.10Mn0.43Ni0.23Co0.23)O2,2.5
Li(Li0.167Mn0.5Ni0.167Co0.167)O2,4.85
Li(Li0.167Mn0.5Ni0.167Co0.167)O2,3.5
Li(Li0.167Mn0.5Ni0.167Co0.167)O2,3
Li(Li0.17Ni0.25Mn0.58)O2,3.2
Li(Li0.19Mn0.54Ni0.13Co0.12Ru0.01)O2,3.5
Li(Li0.20Mn0.55Ni0.15Co0.10)O2 ,4.6
Li(Li0.243Mn0.463Ni0.463Ti0.049)O2,3
Li(Li0.2Co0.4Mn0.4)O2,4.6
Li(Li0.2Co0.4Mn0.4)O2,2
Li(Li0.2Mn0.54Ni0.13Co0.13)O2,3
Li(Li0.2Mn0.54Ni0.13Co0.13)O2,4.8
Li(Li0.2Mn0.54Ni0.13Co0.13)O2,3.75
Li(Li0.2Mn0.54Ni0.13Co0.13)O2,2
Li(Li0.2Ni0.15,4.6
Li(Mg),7.30E-05
Li(MgFe)PO4,3.35
Li(MgxCo1-x)O2,4.3
Li(Mn,4
Li(Mn0.375Ni0.375Co0.25)O2,3.5
Li(Mn0.375Ni0.375Co0.25)O2,3.9
Li(Mn0.375Ni0.375Co0.25)O2,4.8
Li(Mn0.375Ni0.375Co0.25)O2,3.7
Li(Mn0.375Ni0.375Co0.25)O2,2
Li(Mn0.375Ni0.375Co0.25)O2,4
Li(Mn0.375Ni0.375Co0.25)O2,4.5
Li(Mn0.375Ni0.375Co0.25)O2,3.8
Li(Mn0.375Ni0.375Co0.25)O2,2.5
Li(Mn0.375Ni0.375Co0.25)O2,3.65
Li(Mn0.375Ni0.375Co0.25)O2,5
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,1.25
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,3.2
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,4.3
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,1.4
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,3
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,1.5
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,4.6
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,1.1
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,1
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,1.8
Li(Mn0.46Ni0.46Ti0.05Li0.02)O2 ,2.5
Li(Mn0.6Cr0.4)O2,4.3
Li(Mn2−yLiy)O4,5
Li(Na,2
Li(NH3)BH4,0.1
Li(NH3)BH4,4
Li(NH3)BH4,4.7
Li(Ni,4
Li(Ni0.2Co0.6Mn0.2)O2,1.67
Li(Ni0.2Co0.6Mn0.2)O2,1.64
Li(Ni0.2Co0.6Mn0.2)O2,5.00E-05
Li(Ni0.2Co0.6Mn0.2)O2,0.62
Li(Ni0.2Co0.6Mn0.2)O2,1.72
Li(Ni0.2Co0.6Mn0.2)O2,0.38
Li(Ni0.2Li0.3Co0.1Mn0.5)O2,2
Li(Ni0.2Li0.3Co0.1Mn0.5)O2,4.8
Li(Ni0.2Mn0.2Co0.6)O2,4.3
Li(Ni0.45Al0.05)Mn0.5O2,4.42
Li(Ni0.45Al0.05)Mn0.5O2,3
Li(Ni0.45Al0.05)Mn0.5O2,4.6
Li(Ni0.475Co0.05Mn0.475)O2,2.8
Li(Ni0.475Co0.05Mn0.475)O2,4.6
Li(Ni0.475Mn0.475)Al0.05O2,3
Li(Ni0.475Mn0.475)Al0.05O2,4.6
Li(Ni0.475Mn0.475)Al0.05O2,4.47
Li(Ni0.4Co0.2Mn0.4)0.99Zr0.01O2,2.6
Li(Ni0.4Co0.2Mn0.4)0.99Zr0.01O2,4.8
Li(Ni0.4Co0.2Mn0.4)1−xZrxO2,4.7
Li(Ni0.4Co0.2Mn0.4)1−xZrxO2,2.6
Li(Ni0.4Co0.2Mn0.4)O2,3.5
Li(Ni0.4Co0.2Mn0.4)O2,4.3
Li(Ni0.4Mn0.4Co0.2)O2,4.7
Li(Ni0.4Mn0.4Co0.2)O2 / graphite,4.5
Li(Ni0.51Mn0.49)O1.98F0.02,4.3
Li(Ni0.5−x Co2x Mn0.5−x )O2,4.3
Li(Ni0.5−xCo2xMn0.5−x)O2,4.3
Li(Ni0.5Al0.05)Mn0.45O2,3.8
Li(Ni0.5Al0.05)Mn0.45O2,4.55
Li(Ni0.5Co0.2Mn0.3)0.992Nd0.008O2,4.6
Li(Ni0.5Co0.2Mn0.3)0.99Zr0.01O2,4.6
Li(Ni0.5Co0.2Mn0.3)1-xNdxO2,4.6
Li(Ni0.5Co0.2Mn0.3)1-xNdxO2,4.8
Li(Ni0.5Co0.2Mn0.3)O2,4.5
Li(Ni0.5Co0.2Mn0.3)O2-zFz ,4.6
Li(Ni0.5Co0.5)1−yFeyO2,4.5
Li(Ni0.5Mn0.3Co0.2)O2,4.8
Li(Ni0.5Mn0.3Co0.2)O2,4.2
Li(Ni0.5Mn0.5)O2,4.6
Li(Ni0.5Mn0.5)O2,2.8
Li(Ni0.5Mn0.5)O2,2
Li(Ni0.5Mn0.5)O2,4.3
Li(Ni0.5Mn0.5)O2,4.8
Li(Ni0.5Mn1.5)O4,4.7
Li(Ni0.5Mn1.5)O4,4.8
Li(Ni0.5Mn1.5)O4,3.95
Li(Ni0.65Co0.25Mn0.1)O2,3
Li(Ni0.65Co0.25Mn0.1)O2,4.5
Li(Ni0.6Co0.2Mn0.2)O1.95F0.05,4.7
Li(Ni0.6Co0.2Mn0.2)O2,4.5
Li(Ni0.6Co0.2Mn0.2)O2,4.3
Li(Ni0.6Co0.2Mn0.2)O2,1.5
Li(Ni0.6Co0.2Mn0.2)O2 ,4.4
Li(Ni0.72Co0.18Mn0.10)O2,4.3
Li(Ni0.75Co0.25)O2,3
Li(Ni0.75Co0.25)O2,4.3
Li(Ni0.7Co0.3)1−a − bAlaMgbO2,4.3
Li(Ni0.7Co0.3)O2,3.94
Li(Ni0.80Co0.20)O2,4.2
Li(Ni0.83Co0.07Mn0.10)O2,4.3
Li(Ni0.85Co0.12Mn0.03)O2,2.8
Li(Ni0.85Co0.12Mn0.03)O2,4.3
Li(Ni0.85Co0.12Mn0.03)O2 ,4.3
Li(Ni0.8Co0.15Al0.05)O2,4.3
Li(Ni0.8Co0.15Al0.05)O2 ,4.3
Li(Ni0.8Co0.18Ga0.02)O2,4.2
Li(Ni0.8Co0.18Ga0.02)O2,3
Li(Ni0.8Co0.1Mn0.1)0.97Mg0.03O2,4.5
Li(Ni0.8Co0.1Mn0.1)O2,2.8
Li(Ni0.8Co0.1Mn0.1)O2,4.3
Li(Ni0.8Co0.2)O2,3.2
Li(Ni0.8Co0.2)O2,4
Li(Ni0.8Co0.2)O2,4.3
Li(Ni0.8Co0.2)O2,3.68
Li(Ni0.8Co0.20)O2,3.2
Li(Ni0.9Co0.1)O2,4.3
Li(Ni1 / 3Co1 / 3Mn1 / 3)1−xV1−xO4,2
Li(Ni1 / 3Co1 / 3Mn1 / 3)1−xV1−xO4,4.8
Li(NiCoAl)O2,4.2
Li(NiCoAl)O2,2.5
Li(NiMnCo)O2,3.5
Li(NiMnCo)O2,4.2
Li(NiMnCo)O2,3.33
Li(NiMnCo)O2,3
Li(NixCo1−2xMnx)O2,4.2
Li(NixCo1−2xMnx)O2,4.4
Li(NixCoyAlz)O2,4.2
Li(NixCoyMnz)O2,4.2
Li(NixMnyCo1−x − y)O2,4.3
Li(PtAu)0.02Mn1.98O4,3.2
Li(Si) / FeS2,2
Li(Si) / FeS2,1.94
Li(Si) / FeS2 ,1.3
Li(V0.5Ti0.5)S2,0.9
Li[Al0.5Mn1.5]O4 ,5.1
Li[Co0.5Mn1.5]O4,4.5
Li[Co0.8Ni0.2−yAly]O2,4.5
Li[Co0.8Ni0.2−yAly]O2,2.5
Li[Co1−zAlz]O2,3.3
Li[Co-Ni]PO4,4.5
Li[CoxMn2−x]O4,4
Li[CrTi]O4,0.6
Li[CrTi]O4,2
Li[CrxLi(1−x) / 3Mn2(1−x) / 3]O2,4
Li[CrxLi(1−x) / 3Mn2(1−x) / 3]O2,3.2
Li[Fe y Mn2−y ]O4,5
Li[Fe y Mn2−y ]O4,4
Li[Fe0.5Mn1.5]O4,4.05
Li[Fe0.5Mn1.5]O4,5
Li[Fe0.5Mn1.5]O4,3
Li[Fe0.5Mn1.5]O4,2
Li[Fe0.5Mn1.5]O4,4
Li[FeMn]O4,5
Li[Li(1−x) / 3Mn(x+2) / 3]O2,2
Li[Li0.1Al0.1Mn1.8]O4,1.41E-05
Li[Li0.1Al0.1Mn1.8]O4,2.5
Li[Li0.2Mn0.6Ni0.2]O2,4.5
Li[Li0.2Mn0.6Ni0.2]O2,2
Li[Li0.2Mn0.6Ni0.2]O2,4.8
Li[Li0.2Mn1.8]O4,0.34
Li[Li0.2N0.2Mn0.6]O2 ,4.6
Li[Li0.2Ni0.1Co0.2Mn0.5]O2,2.5
Li[Li0.2Ni0.1Co0.2Mn0.5]O2,4.5
Li[Li0.2Ni0.2Mn0.6]O2,4.5
Li[Li0.2Ni0.2Mn0.6]O2,4.8
Li[Li0.2Ni0.2Mn0.6]O2,4.7
Li[Li0.2Ni0.2Mn0.6]O2,0.123
Li[Li0.2Ni0.2Mn0.6]O2,2
Li[Li0.2Ni0.2Mn0.6]O2,4.2
Li[Li0.2Ni0.2Mn0.6]O2,4.3
Li[Li0.2Ni0.2Mn0.6]O2,3.3
Li[Li0.2Ni0.2Mn0.6]O2,0.415
Li[Li0.2Ni0.2Mn0.6]O2,3.1
Li[Li0.2Ni0.2Mn0.6]O2,4.6
Li[Li0.2Ni0.2Mn0.6]O2 ,0.2
Li[Li0.2Ni0.2Mn0.6]O2 ,2
Li[Li0.2Ni0.2Mn0.6]O2 ,4.5
Li[Li0.2Ni0.2Mn0.6]O2 ,4.45
Li[Li0.2Ni0.2Mn0.6]O2 ,4.7
Li[Li0.2Ni0.2Mn0.6]O2 ,4.6
Li[Li0.2Ni0.2Mn0.6]O2 ,2.5
Li[Li0.2Ni0.2Mn0.6−xNbx]O2,2
Li[Li0.2Ni0.2Mn0.6−xNbx]O2,4.8
Li[Li0.2Ni0.4Mn0.4]O2,5
Li[Li0.2Ni0.4Mn0.4]O2,4.5
Li[Li0.2Ni0.4Mn0.4]O2,3
Li[Li0.2Ni0.4Mn0.4]O2,2
Li[Li0.2Ni0.4Mn0.4]O2,4.8
Li[Li0.2Ni0.4Mn0.4]O2,2.5
Li[Li0.2Ni0.4Mn0.4]O2 ,4.2
Li[Li0.3Cr0.1Mn0.6]O2,4.5
Li[Li1 / 3 Mn2 / 3]O2,4.6
Li[Li1 / 7Ni2 / 7Mn4 / 7]O2,3.28
Li[Li1 / 7Ni2 / 7Mn4 / 7]O2,4.5
Li[LiηMn1−y − zNiyCoz]O2 a,4.8
Li[LiM]O2 / MnO2 ,2.8
Li[LiM]O2 / MnO2 ,2.9
Li[LiM]O2 / MnO2 ,4.5
Li[LixAlyMn2−x − y]O4−zFz,4.3
Li[LixMn2−x]O4,3.3
Li[LixMnαCoβNiγ]O2 ,4
Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2,2.5
Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2,4.6
Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2,4.45
Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2 ,2.5
Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2 ,4.45
Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2 ,4.6
